"","Context","DOPAC.BS","5HIAA.BS","DA.BS","5HT.BS","DOPAC.DL","5HIAA.DL","DA.DL","5HT.DL","DOPAC.TL","5HIAA.TL","DA.TL","5HT.TL","DOPAC.OT","5HIAA.OT","DA.OT","5HT.OT","DOPAC.CB","5HIAA.CB","DA.CB","5HT.CB","DOPAC-DA.BS","HIAA-HT.BS","DOPAC-DA.DL","HIAA-HT.DL","DOPAC.DA-TL","HIAA-HT.TL","DOPAC-DA.OT","HIAA-HT.OT","DOPAC-DA.CB","HIAA-HT.CB"
"19","CCAQ",1.71995e-06,0.000195303,6.17107e-05,0.000376094,9.92074e-07,0.002067404,0.000119108,0.000995574,1.04151e-06,0.006034575,0.000359612,0.009556342,7.07346e-06,0.00281327,0.000177189,0.002397177,1.27558e-05,2.17883e-05,0.000327572,3.0462e-05,0.027871161,0.519294349,0.008329202,2.076595309,0.002896195,0.631473354,0.039920421,1.173576541,0.038940549,0.715262333
"20","CCAQ",3.42994e-06,0.002683439,0.000694666,0.007543323,1.10317e-06,0.003683511,0.000422129,0.009240968,1.94286e-05,0.007667705,0.00037644,0.021369874,1.23952e-06,0.002777064,0.000270845,0.003177003,0.000101239,0.000154364,7.47164e-05,0.000428633,0.004937535,0.355736975,0.002613343,0.398606569,0.051611319,0.358809098,0.004576466,0.874114331,1.354981531,0.360130333
"21","CCAQ",9.3968e-05,0.001123412,0.000839923,0.002637112,7.14497e-05,0.003395356,0.000731466,0.006473149,9.75962e-05,0.003869408,0.000346482,0.018811039,7.27655e-05,0.00251887,0.000206366,0.005123527,6.80506e-05,0.00026994,8.54662e-05,0.000521737,0.111876994,0.426000952,0.097680035,0.524529254,0.281677512,0.205698776,0.352604166,0.491628102,0.796228235,0.517387398
"22","CCAQ",4.59963e-05,0.001763147,0.000273337,0.002977631,5.1062e-05,0.005035436,0.000924412,0.008754107,2.95781e-05,0.009223459,0.000155968,0.018520216,5.20916e-05,0.004751842,0.000302726,0.005775517,4.47528e-05,0.000232168,0.000124727,0.000281857,0.168276863,0.592130937,0.055237233,0.575208451,0.189641355,0.49802113,0.172074884,0.82275604,0.358807101,0.823709631
"23","CCAQ",2.62555e-05,0.001433888,0.00036891,0.00328619,1.18063e-05,0.002980709,0.000675277,0.007341847,4.00472e-05,0.007325729,0.000191536,0.019120843,2.31575e-05,0.003504242,0.000344133,0.003450903,3.63958e-05,0.000288811,0.000139196,0.000332311,0.071170482,0.43633754,0.017483614,0.405989035,0.209084157,0.38312793,0.067292364,1.015456607,0.261471987,0.869100112
"24","CCAQ",2.53398e-07,0.000978037,0.000148728,0.000397938,4.55267e-05,0.003704618,0.00060915,0.006618626,7.43976e-08,0.008437548,0.000105776,0.012314294,4.50216e-05,0.003805583,8.81273e-05,0.001002554,2.16909e-05,8.55258e-05,0.000112965,0.000101845,0.00170377,2.457763045,0.074738133,0.559726103,0.000703347,0.685183215,0.510869916,3.795886041,0.192013561,0.839766507
"25","CCAQ",5.77835e-07,0.002878277,0.00100748,0.004507007,3.75493e-06,0.001848176,9.37746e-05,0.003469275,5.31913e-05,0.006706912,0.00012276,0.020733497,6.83577e-05,0.002500933,0.000897205,0.006385454,9.0003e-05,0.000588164,0.000318564,0.000861607,0.000573546,0.638622809,0.040042087,0.532726991,0.433295505,0.323481929,0.07618957,0.391660974,0.282527362,0.682636361
"26","CCAQ",6.14301e-07,0.000919434,0.000629863,0.003373184,2.31626e-05,0.004433952,0.000667119,0.006001506,1.75746e-05,0.005525588,0.000129644,0.016132937,2.38568e-05,0.00135565,0.000295038,0.002213507,2.21736e-05,0.000118507,0.000116937,0.000218342,0.000975292,0.272571688,0.034720286,0.738806543,0.135559734,0.342503549,0.08086009,0.612444446,0.18962024,0.542757712
"27","CCAQ",3.28405e-07,0.001350195,0.000734572,0.00456482,3.19291e-05,0.002448039,0.000575043,0.006908595,2.36282e-05,0.005186299,0.000128025,0.020088169,2.82411e-06,0.000796453,0.000264626,0.001885063,3.13596e-05,0.000109012,0.000121277,0.000301236,0.00044707,0.295782809,0.055524785,0.354346932,0.184559922,0.258176809,0.01067208,0.422507486,0.258578231,0.361882121
"28","CCAQ",9.69985e-06,0.001292814,0.000885039,0.003810145,1.92934e-06,0.002145455,0.000554745,0.006039012,1.45805e-05,0.005979225,0.000229838,0.013642391,1.43038e-06,0.001230894,0.000615263,0.002819594,2.79471e-05,0.000170792,0.000196094,0.00043036,0.010959801,0.339308319,0.003477885,0.35526594,0.063438304,0.438282745,0.002324828,0.436550131,0.142519252,0.396858157
"29","CCAQ",1.28385e-05,0.000960127,0.00079372,0.005107166,6.35965e-05,0.003134542,0.000655614,0.007333592,3.54311e-05,0.004744317,0.000169407,0.016493731,2.57792e-05,0.001478283,0.000601622,0.004256412,4.38929e-05,0.000208288,0.000135023,0.000690597,0.016175145,0.187995951,0.097002886,0.427422469,0.209147099,0.287643682,0.042849498,0.347307391,0.325078123,0.301606098
"30","CCAQ",2.08817e-06,0.001046746,0.000996727,0.0062389,1.81483e-07,0.002767262,0.000928529,0.008640576,8.78052e-06,0.005352719,0.000113284,0.012624263,3.72978e-05,0.000959213,0.00078725,0.002140429,1.09149e-05,0.000127903,0.000111148,0.000478403,0.002095029,0.167777344,0.000195452,0.320263582,0.077508754,0.424002456,0.047377323,0.448140401,0.098201788,0.267354811
"31","CHAQ",9.66893e-06,0.000622265,0.000200911,0.00303812,9.06432e-07,0.034710447,0.00063426,0.008680729,6.29298e-06,0.003250479,0.000249981,0.014007014,2.13313e-06,0.00060014,0.000344287,0.001463458,2.2509e-05,0.000529485,0.000134869,0.001400065,0.04812536,0.204818995,0.001429116,3.998563436,0.025173857,0.232060789,0.006195779,0.410083753,0.166895787,0.378185816
"32","CHAQ",1.25961e-05,9.43594e-05,8.31796e-07,2.32378e-05,4.40312e-07,0.050206835,0.001227202,0.017560795,2.21033e-05,0.005840767,0.000259597,0.014476867,1.26149e-06,0.001209201,0.000490279,0.002399481,1.042e-06,0.000132526,1.25784e-05,0.000309596,15.14321513,4.060596635,0.000358793,2.859029729,0.085144433,0.403455207,0.002573008,0.503942673,0.082840022,0.428061596
"33","CHAQ",1.39653e-05,0.000423271,0.000725758,0.001165069,4.12707e-07,0.044830527,0.000624724,0.012532678,1.33196e-05,0.00498808,7.41691e-05,0.00716341,1.93388e-05,0.000848361,0.000379286,0.001906912,4.14709e-05,0.000501802,3.5225e-05,0.000966259,0.019242332,0.363300996,0.000660623,3.57709069,0.179583979,0.696327559,0.050987518,0.444887573,1.177314247,0.519324698
"34","CHAQ",3.58793e-06,0.000736435,0.000266505,0.003185224,2.2503e-05,0.042540288,0.001396886,0.020693791,3.29115e-05,0.003879443,0.00016851,0.018163861,8.13172e-07,0.00064264,0.000483918,0.002333226,1.00124e-05,0.000236984,0.000240865,0.000521992,0.013462882,0.231203431,0.016109396,2.055702943,0.195309147,0.213580329,0.001680391,0.275429888,0.041568512,0.453999418
"35","CHAQ",3.55912e-06,0.000244987,0.00028942,0.000983964,1.83771e-07,0.037825505,0.001076527,0.015926874,2.04304e-05,0.006685452,0.000169333,0.027403248,1.76266e-05,0.000760378,0.000634495,0.002419724,5.24902e-06,9.84239e-06,2.13252e-05,0.000484873,0.012297427,0.248979707,0.000170708,2.37494844,0.120652235,0.243965679,0.027780487,0.314241787,0.246141758,0.02029889
"36","CHAQ",2.28299e-05,0.001751882,8.24062e-05,0.000667286,2.41159e-05,0.005304511,0.000396871,0.004569944,2.29964e-05,0.006638123,0.000150252,0.013691069,7.86348e-06,0.003074857,7.33137e-05,0.001007032,1.02222e-06,0.000606487,7.37598e-05,0.000380269,0.27704101,2.625381983,0.060765175,1.16073886,0.153052105,0.484850557,0.107258027,3.053386588,0.013858749,1.594891526
